dataset_id,program,label,n_cells,genes_present,genes_missing,mean_score,fraction_detected,score_definition,z_score
heart_cell_atlas_subsampled,cardiomyocyte,Adipocytes,145,TNNT2;MYH6;MYH7;ACTC1;TTN,,0.2600383758544922,0.2593103448275862,mean log1p expression of marker genes present in the source expression matrix,-0.32713804647642974
heart_cell_atlas_subsampled,cardiomyocyte,Atrial_Cardiomyocyte,471,TNNT2;MYH6;MYH7;ACTC1;TTN,,1.6095359325408936,0.7579617834394905,mean log1p expression of marker genes present in the source expression matrix,1.9813405701236946
heart_cell_atlas_subsampled,cardiomyocyte,Endothelial,1717,TNNT2;MYH6;MYH7;ACTC1;TTN,,0.09504882246255875,0.1100757134536983,mean log1p expression of marker genes present in the source expression matrix,-0.6093726115414417
heart_cell_atlas_subsampled,cardiomyocyte,Fibroblast,1019,TNNT2;MYH6;MYH7;ACTC1;TTN,,0.15409575402736664,0.1772325809617272,mean log1p expression of marker genes present in the source expression matrix,-0.508365701067364
heart_cell_atlas_subsampled,cardiomyocyte,Lymphoid,267,TNNT2;MYH6;MYH7;ACTC1;TTN,,0.09445663541555405,0.11460674157303372,mean log1p expression of marker genes present in the source expression matrix,-0.6103856190332038
heart_cell_atlas_subsampled,cardiomyocyte,Mesothelial,17,TNNT2;MYH6;MYH7;ACTC1;TTN,,0.3194311857223511,0.32941176470588235,mean log1p expression of marker genes present in the source expression matrix,-0.225539469376071
heart_cell_atlas_subsampled,cardiomyocyte,Myeloid,395,TNNT2;MYH6;MYH7;ACTC1;TTN,,0.1577635556459427,0.1751898734177215,mean log1p expression of marker genes present in the source expression matrix,-0.5020914832561036
heart_cell_atlas_subsampled,cardiomyocyte,Neuronal,153,TNNT2;MYH6;MYH7;ACTC1;TTN,,0.21695278584957123,0.2274509803921569,mean log1p expression of marker genes present in the source expression matrix,-0.4008411537678446
heart_cell_atlas_subsampled,cardiomyocyte,Pericytes,1336,TNNT2;MYH6;MYH7;ACTC1;TTN,,0.17158551514148712,0.19356287425149699,mean log1p expression of marker genes present in the source expression matrix,-0.4784473515739949
heart_cell_atlas_subsampled,cardiomyocyte,Smooth_muscle_cells,261,TNNT2;MYH6;MYH7;ACTC1;TTN,,0.13046909868717194,0.1478927203065134,mean log1p expression of marker genes present in the source expression matrix,-0.5487819495921438
heart_cell_atlas_subsampled,cardiomyocyte,Ventricular_Cardiomyocyte,2219,TNNT2;MYH6;MYH7;ACTC1;TTN,,1.7546775341033936,0.823614240648941,mean log1p expression of marker genes present in the source expression matrix,2.2296228155609032
heart_cell_atlas_subsampled,endothelial,Adipocytes,145,PECAM1;VWF;KDR;EMCN,,0.043632153421640396,0.05172413793103448,mean log1p expression of marker genes present in the source expression matrix,-0.2895916122171892
heart_cell_atlas_subsampled,endothelial,Atrial_Cardiomyocyte,471,PECAM1;VWF;KDR;EMCN,,0.026337003335356712,0.03768577494692144,mean log1p expression of marker genes present in the source expression matrix,-0.3730070892299952
